file,start_time,end_time,cells_evaluated,relocation_times,network_stable_times,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30
experiment_logs_1.txt,160,394,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[271, 271, 271, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 333, 394, 394, 394, 394, 394, 394, 394, 394, 394, 0, 0, 0]",200,220,232,242,250,256,262,266,270,274,278,281,283,286,288,290,292,294,295,297,299,300,302,303,305,306,307,308,309,
experiment_logs_2.txt,352,853,29,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[464, 464, 464, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 656, 656, 656, 656, 656, 656, 656, 656, 722, 853, 853, 0]",391,411,424,433,441,448,453,458,462,466,469,472,474,477,479,482,483,485,486,488,489,491,493,494,496,497,497,498,499,
experiment_logs_3.txt,578,949,29,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[690, 690, 690, 751, 751, 751, 751, 751, 751, 818, 818, 818, 818, 818, 818, 818, 818, 818, 818, 818, 818, 818, 818, 949, 949, 949, 949, 949, 949, 0]",618,637,650,659,667,674,679,684,688,692,695,698,700,703,705,708,709,711,712,714,716,717,719,720,722,723,723,724,725,
experiment_logs_4.txt,72,570,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[185, 185, 185, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 246, 310, 376, 376, 376, 376, 570, 0, 0, 0]",259,112,132,144,154,162,168,173,178,182,186,189,192,195,197,200,202,204,205,207,208,210,211,213,215,216,217,218,219,221
experiment_logs_5.txt,162,399,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[274, 274, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 335, 399, 399, 399, 399, 399, 399, 399, 399, 399, 0]",201,221,234,243,251,257,263,268,272,276,279,282,284,287,289,291,293,295,296,298,299,301,302,304,306,306,307,308,309,
experiment_logs_6.txt,146,450,30,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[256, 256, 256, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 385, 450, 450, 450, 450, 450]",185,205,218,227,235,241,247,252,256,259,263,266,268,271,273,275,277,278,280,282,283,285,286,288,290,290,291,292,293,
experiment_logs_7.txt,65,1077,30,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[177, 177, 177, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 373, 373, 373, 373, 439, 0, 0]",104,124,137,146,154,160,166,171,175,179,182,185,187,190,192,194,196,198,199,201,202,204,205,207,209,209,210,211,212,
experiment_logs_8.txt,89,331,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[202, 202, 202, 264, 264, 264, 264, 264, 264, 264, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 331, 0, 0, 0]",129,148,161,171,179,185,190,195,199,203,206,209,212,214,216,219,221,222,224,226,227,229,230,232,234,234,235,236,237,
experiment_logs_9.txt,119,498,27,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[232, 232, 232, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 0, 0, 0]",158,178,191,200,208,214,220,225,229,233,236,239,241,244,246,248,250,252,253,255,256,258,260,261,263,263,264,265,266,
experiment_logs_10.txt,54,287,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[165, 165, 165, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 226, 287, 287, 287, 287, 287, 287, 287, 287, 0]",93,113,126,135,143,149,155,160,164,168,171,174,176,179,181,183,185,187,189,190,192,193,195,197,198,199,200,200,201,
